domain_id	Function_pfam	Clan_pfam	Gene_pfam
PF02836	Glycosyl hydrolases family 2, TIM barrel domain	CL0036	Glyco_hydro_2_C
PF02837	Glycosyl hydrolases family 2, sugar binding domain	CL0202	Glyco_hydro_2_N
PF00703	Glycosyl hydrolases family 2	CL0159	Glyco_hydro_2
PF13561	Enoyl-(Acyl carrier protein) reductase	CL0063	adh_short_C2
PF03786	D-mannonate dehydratase (UxuA)	CL0036	UxuA
PF02614	Glucuronate isomerase	CL0036	UxaC
PF13347	MFS/sugar transport protein	CL0015	MFS_2
PF00294	pfkB family carbohydrate kinase	CL0118	PfkB
PF01081	KDPG and KHG aldolase	CL0036	Aldolase
PF12833	Helix-turn-helix domain	CL0123	HTH_18
